timestamp,value,metric,host_id
1574654504,148.6,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574688099,170.2,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574706697,155.2,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574739995,144.0,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574746294,141.2,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574777192,163.8,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574816489,136.2,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574838689,136.6,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574839889,160.4,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574856388,144.2,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574872884,166.6,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574975471,129.8,ack,089ab721585b4cb9ab20aaa6a13f08ea
1575004568,135.2,ack,089ab721585b4cb9ab20aaa6a13f08ea
1575010566,145.6,ack,089ab721585b4cb9ab20aaa6a13f08ea
1575058865,126.8,ack,089ab721585b4cb9ab20aaa6a13f08ea
1575082262,150.2,ack,089ab721585b4cb9ab20aaa6a13f08ea
1575121557,160.4,ack,089ab721585b4cb9ab20aaa6a13f08ea
1574686970,1664.0,ack,0da342d5cd1c9a1f720113ad49bc6426
1574696569,1657.4,ack,0da342d5cd1c9a1f720113ad49bc6426
1574716666,1432.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1574735865,1603.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1574750261,1577.8,ack,0da342d5cd1c9a1f720113ad49bc6426
1574778461,1629.6,ack,0da342d5cd1c9a1f720113ad49bc6426
1574783561,1687.4,ack,0da342d5cd1c9a1f720113ad49bc6426
1574840555,1775.0,ack,0da342d5cd1c9a1f720113ad49bc6426
1574876850,1712.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1574882850,1603.8,ack,0da342d5cd1c9a1f720113ad49bc6426
1574904448,264.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1574906548,270.8,ack,0da342d5cd1c9a1f720113ad49bc6426
1574935348,6793.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1574937448,12351.0,ack,0da342d5cd1c9a1f720113ad49bc6426
1574942247,1876.6,ack,0da342d5cd1c9a1f720113ad49bc6426
1574946447,1766.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1574999785,1597.6,ack,0da342d5cd1c9a1f720113ad49bc6426
1575006384,1602.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1575011484,1683.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1575026482,1633.2,ack,0da342d5cd1c9a1f720113ad49bc6426
1575043582,1768.6,ack,0da342d5cd1c9a1f720113ad49bc6426
1575092178,1478.4,ack,0da342d5cd1c9a1f720113ad49bc6426
1575124274,1768.0,ack,0da342d5cd1c9a1f720113ad49bc6426
1575146470,1616.6,ack,0da342d5cd1c9a1f720113ad49bc6426
1574695899,168.2,ack,144e91cc7849dac578571e2229024c01
1574726495,160.0,ack,144e91cc7849dac578571e2229024c01
1574771192,167.0,ack,144e91cc7849dac578571e2229024c01
1574798189,148.8,ack,144e91cc7849dac578571e2229024c01
1574827284,141.8,ack,144e91cc7849dac578571e2229024c01
1574856983,148.4,ack,144e91cc7849dac578571e2229024c01
1574928976,0.6,ack,144e91cc7849dac578571e2229024c01
1574938876,671.8,ack,144e91cc7849dac578571e2229024c01
