metric_name,metric_id,coeff_of_determination,training_time,inference_time
cpu_prct_used,091c334c-a90a-4d8f-ba75-2c936220cd64,-5.48290351382266,0.000680446624756,5.79357147216797E-05
messages_unacknowledged,fe897d86-1ea4-4e00-a018-5cd8702e96b3,0,0.000489473342896,4.79221343994141E-05
cpu_prct_used,cc0f3149-f443-4ba8-b8ae-931fedb52e82,-11.1370596927696,0.00043773651123,5.14984130859375E-05
messages,32e3bff5-5ab7-491a-a1c0-cf3952ac5530,0,0.000429630279541,4.83989715576172E-05
cpu_usage,a88abad6-0f29-4d5e-b688-ba698ab97d59,-58.5086692119923,0.000446081161499,4.88758087158203E-05
consumers,81e5a28a-cbc1-4652-ad63-29d99142bace,0,0.000452041625977,4.88758087158203E-05
ack,eff3da11-6f06-48a4-8187-35fdcded15ec,-2021.78430630136,0.000412940979004,4.79221343994141E-05
ack,3436bacf-c5d3-4c51-8b3f-8196fddae06f,100,0.000407457351685,4.72068786621094E-05
cpu_usage,e7ea3817-6a9a-4eab-aa56-bb8bb3c0385a,-16.3284245304978,0.000402450561523,4.83989715576172E-05
messages,406bb3d8-3043-4169-aa78-406dd46d26db,-100100.841003347,0.000554084777832,5.67436218261719E-05
cpu_prct_used,05398140-2e37-4635-ad89-b48dc87fb26e,-145.728480528732,0.000455617904663,4.74452972412109E-05
messages_ready,f0dd3b75-740a-4a37-bcef-9f78f4e35019,100,0.000417947769165,4.79221343994141E-05
messages_ready,a63e7c1e-f939-4f7c-9225-8d6a4ee335f8,100,0.000416278839111,4.76837158203125E-05
messages_ready,5ef49e43-2e64-4c4a-a766-1d83ce4fc921,0,0.000402688980103,4.83989715576172E-05
messages_ready,56443783-595c-4f64-a2cb-382be56ab9fa,0,0.000444173812866,4.79221343994141E-05
messages_ready,6874bc1f-b387-4464-b7c7-67e5f6f80a5b,-100073.564499416,0.000406742095947,4.79221343994141E-05
messages_unacknowledged,2e6a0717-632b-486d-b254-2b57c11ef283,100,0.000430822372437,4.91142272949219E-05
ack,fcf0dce1-ec4d-437a-bff5-9e729993a5d6,100,0.000452518463135,4.86373901367188E-05
cpu_prct_used,439befad-05e4-4c4a-b858-b6b285d82300,-116.841766376201,0.000426054000854,4.88758087158203E-05
consumers,4583b548-0919-422e-84bd-7861d392be6c,0,0.000406980514526,4.83989715576172E-05
cpu_prct_used,19de83dd-60a6-4b55-810d-e7c6522270d4,-323.478652318043,0.000409841537476,4.81605529785156E-05
messages,9bf7d77c-470b-4271-9842-3f39813df39d,-208.940633385361,0.00040602684021,4.88758087158203E-05
memoryConsumed,f943f1e8-4ebd-45b0-95ac-5fb0514e6b15,-0.878851546189674,0.000544309616089,5.86509704589844E-05
cpu_prct_used,2c354d5d-5a3d-4281-ab05-3b0e8074cac4,-4.0851890198367,0.000436544418335,4.91142272949219E-05
cpu_prct_used,1a78350c-5973-4525-a5a3-f8c9532c1300,-24.5443906508463,0.000410795211792,4.86373901367188E-05
ack,b04775fb-05d1-4430-82b8-ccf012ffb951,-1.27196216576904,0.000433206558228,4.81605529785156E-05
cpu_prct_used,99cfb50b-d959-40b5-b137-911a99d41eed,-0.509829476814261,0.000499486923218,5.84125518798828E-05
ack,83d9cb78-0b13-482b-91ef-e712e11829df,-6.00331098225921,0.000418663024902,4.98294830322266E-05
messages_ready,5954115e-4dea-40b6-b29d-08a6ecaa90e9,100,0.000414133071899,4.9591064453125E-05
messages_unacknowledged,a704402a-78cf-4fc9-aad2-7e960865af94,-0.204083625189266,0.000414133071899,4.93526458740234E-05
cpu_prct_used,2883c27f-a3f0-4ebe-92eb-f59f58a67321,-0.197179167525707,0.000410795211792,4.88758087158203E-05
memoryConsumed,6aa27981-dbbe-4b2a-888e-86ac62b627db,0.179377752228937,0.000495672225952,7.84397125244141E-05
cpu_prct_used,a55d4b31-c24f-45dc-ab83-1a49d2ca66dd,-91.6979004219976,0.000445365905762,4.93526458740234E-05
cpu_prct_used,ac8519bc-2985-4869-8aa8-c5fdfc68ec44,-20.0631490389394,0.000433921813965,5.12599945068359E-05
cpu_usage,4b230578-a6b1-4b08-bc78-4caf3771c3f7,0,0.000508308410645,6.00814819335938E-05
ack,0e33bc37-e207-4c4c-bad0-f8f9b7dc45a3,100,0.000426292419434,5.00679016113281E-05
messages_ready,c1551b0b-59c9-4520-a9aa-e37cf66e14d6,100,0.000425815582275,4.83989715576172E-05
cpu_prct_used,af33574c-c852-4b76-9e67-b19ad444250d,-0.559140540571468,0.000422239303589,4.88758087158203E-05
cpu_usage,7e4a1bad-0fa8-470b-bf78-97a4dc24f68f,-1.40852111893985,0.00044584274292,4.62532043457031E-05
messages,0835b76f-d695-4a13-b6e2-4a4617fd7338,0,0.000428199768066,4.83989715576172E-05
cpu,a81f3ad9-93cf-488c-8810-7dd44ef25a6e,-0.141477715833549,0.000473022460938,4.91142272949219E-05
cpu_prct_used,bc1494de-1529-4905-9fb3-51e440f7fa07,-1131.0517794308,0.000450372695923,4.83989715576172E-05
consumers,ba4f28c7-fa97-4233-84bf-230457afce08,0,0.000407218933105,4.98294830322266E-05
memoryConsumed,44203561-815a-48aa-ae9c-299eff0c64d8,0,0.000411033630371,4.76837158203125E-05
messages_unacknowledged,dbab29c2-a17b-4e2a-90a0-f18f513bfdc2,100,0.000412464141846,4.76837158203125E-05
cpu_ready,205c24a7-82be-44ab-86f8-0a680c1cd275,-21.2254704700668,0.000404834747314,4.86373901367188E-05
messages_unacknowledged,049d35fa-af41-4479-ba7b-55873bfc377e,-9.82241299565214,0.000404834747314,4.88758087158203E-05
messages_unacknowledged,1abd43d3-55ba-4237-afbf-23f06414beea,100,0.000407218933105,4.67300415039063E-05
messages_ready,b7701594-0a23-47f7-a645-bcfd09a9001e,100,0.000457048416138,4.69684600830078E-05
memoryConsumed,ed071ac9-71ae-4d77-8931-66e8104b8f5a,-16.618565754333,0.000401258468628,4.69684600830078E-05
messages_unacknowledged,12027b10-1307-4e2c-8e4e-85c37bf35187,-1.77878689769364,0.000401973724365,4.62532043457031E-05
messages_unacknowledged,45a2ed7a-b76a-4b52-813a-90f3dda0e832,0,0.000455141067505,4.67300415039063E-05
cpu_usage,58e9463b-1d0c-445c-a06d-385a91fa48d4,30.2194428742935,0.000468015670776,4.98294830322266E-05
ack,51ac052e-3c67-497f-8d5a-188190e242db,100,0.00041389465332,4.76837158203125E-05
consumers,bdc7c8e6-1944-460f-b8f5-571af0b539da,0,0.000423908233643,4.83989715576172E-05
consumers,ea524275-33c6-4aee-96fa-a7c194744f3a,0,0.000417232513428,4.86373901367188E-05
cpu_prct_used,457438df-897f-47dc-8607-a651cd8a3239,-9.63971290423782,0.000432252883911,4.9591064453125E-05
memoryConsumed,6f25a6a6-ffa9-4cb6-acd2-7b885cb16e13,0,0.000483274459839,4.79221343994141E-05
cpu_usage,ec29c9f5-c6bd-4699-a2b0-aa3ae0e60064,-9.38186569031312,0.000453948974609,4.86373901367188E-05
cpu_prct_used,ae320972-f612-4cef-8570-908250b8bd1a,-5.35670789798199,0.00042200088501,4.91142272949219E-05
messages,5a5933ad-ba4d-45f9-b508-b6eebc034fe0,100,0.000558376312256,4.91142272949219E-05
messages_unacknowledged,43400768-8ade-4567-a8cc-209ce26d4824,-9.70595717729126,0.000458717346191,4.88758087158203E-05
cpu_prct_used,30bec8cf-56cc-4a6b-a125-5c5d0a29585e,-6236.23209678314,0.000414848327637,4.76837158203125E-05
